,ImageViewed URL (please copy Column C in the next tab),Image,Task1Naming,Task1Meaning,Task1 Ground Truth,Category,,
193,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/4F.png,,Tree maps,treemap,Treemap Layout,4,,
194,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/4D.png,,icicle graph,icicle tree,Icicle Tree,4,,
195,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/2B.1.png,,Parallel Coordinates,Q-Q plot,Q-Q plot,2,,
196,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/2D.png,,Linear graph,parallel Coordinates,parallel Coordinates,2,,
197,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/2B.1.png,,Q-Q Plot,Q-Q plot,Q-Q plot,2,,
198,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/1D.png,,Horizon Graph,horizon graph,Horizon Graph,1,,
199,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/4D.png,,Icicle plot,icicle tree,Icicle Tree,4,,
200,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/1A.png,,Line chart,Index chart/line chart,Index chart/line chart,1,,
201,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/3C.1.png,,Heat map,pie chart / area chart,Graduated Symbol Map,3,,
202,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/4G.png,,Module map,nested circle,Nested Circles Tree,4,,
203,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/3B.png,,Heatmap,choroploth map,Choropleth Map,3,,
204,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/4A.png,,Hierarchy,Radial node-link diagram / tree,Node-link diagram / tree,4,,
205,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/1C.png,,Total counts unemployed person industry,small multiples,Small Multiples,1,,
206,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/4B.png,,Flare package tree,polar coordinates node-link / tree,Radial Cluster Diagram,4,,
207,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/4F.png,,Tree graph,treemap,Treemap Layout,4,,
208,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/1B.png,,Line graph,stacked graph,Stacked Graph,1,,
209,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/4B.png,,Tree,polar coordinates node-link / tree,Radial Cluster Diagram,4,,
210,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/5A.png,,Scaled graph,force-directed layout,force-directed layout,5,,
211,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/1B.png,,compound line,stacked graph,Stacked Graph,1,,
212,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/1D.png,,density graph,horizon graph,Horizon Graph,1,,
213,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/2D.png,,parallel coordinates plot,parallel Coordinates,parallel Coordinates,2,,
214,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/4D.png,,heat map,icicle tree,Icicle Tree,4,,
215,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/1B.png,,Stacked Density Plot,I dont know,Stacked Graph,1,,
216,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/1A.png,,Line Plot,,Index chart/line chart,1,,
217,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/1A.png,,Line Plot,Stock prices,Index chart/line chart,1,,
218,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/3B.png,,Heatmap,Obesity levels by state,Choropleth Map,3,,
219,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/4C.png,,file system diagram,indent tree,Indented Tree,4,,
220,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/1A.png,,line plot,Index chart/line chart,Index chart/line chart,1,,
221,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/4D.png,,block plot,icicle tree,Icicle Tree,4,,
222,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/1D.png,,trend plot,horizon graph,Horizon Graph,1,,
223,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/2C.png,,scatter plots,Splom / scatterplot matrix,Splom / scatterplot matrix,2,,
224,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/5A.png,,network graph,force-directed layout,force-directed layout,5,,
225,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/3D.1.png,,sphere plot,Dorling Cartogram/area chart,Dorling Cartogram/Area Chart,3,,
226,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/2B.1.png,,Point Scatter plot,Q-Q plot,Q-Q plot,2,,
227,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/3B.png,,Geo distribution plot,choroploth map,Choropleth Map,3,,
228,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/1B.png,,multi line plot,stacked graph,Stacked Graph,1,,
229,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/4B.png,,circular tree graph,polar coordinates node-link / tree,Radial Cluster Diagram,4,,
230,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/4G.png,,circle plot,nested circle,Nested Circles Tree,4,,
231,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/5B.png,,connection graph,arc diagram,arc diagram,5,,
232,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/5C.png,,matrix plot,matrix view,matrix view,5,,
233,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/3C.1.png,,pie chart,pie chart / area chart,Graduated Symbol Map,3,,
234,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/3A.png,,map,flow map / mpa,flow map / mpa,3,,
235,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/4E.png,,concentric figure,sunburst,Sunburst Tree,4,,
236,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/4A.png,,tree,Radial node-link diagram / tree,Node-link diagram / tree,4,,
237,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/1C.png,,trends,small multiples,Small Multiples,1,,
238,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/4F.png,,area plot,treemap,Treemap Layout,4,,
239,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/1A.png,,stock price graph,Index chart/line chart,Index chart/line chart,1,,
240,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/3B.png,,heatmap,choroploth map,Choropleth Map,3,,
241,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/3C.1.png,,pie chart,pie chart / area chart,Graduated Symbol Map,3,,
242,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/2C.png,,scatterplot,Splom / scatterplot matrix,Splom / scatterplot matrix,2,,
243,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/2D.png,,Mapping,parallel Coordinates,parallel Coordinates,2,,
244,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/2A.png,,frequency chart,stem-and-leaf plot,Stem-and-Leaf plot,2,,
245,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/1C.png,,time series plot,small multiples,Small Multiples,1,,
246,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/2B.1.png,,scatterplot,Q-Q plot,Q-Q plot,2,,
247,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/1A.png,,Variation stock with time,,Index chart/line chart,1,,
248,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/1C.png,,Variation employment rate with profession,,Small Multiples,1,,
249,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/1D.png,,Deviation from average unemployment rate,,Horizon Graph,1,,
250,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/2A.png,,Participation Ranking,,Stem-and-Leaf plot,2,,
251,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/2B.1.png,,Group completion trend,,Q-Q plot,2,,
252,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/2C.png,,Car Data Country,,Splom / scatterplot matrix,2,,
253,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/2D.png,,Data Car Characteristics,,parallel Coordinates,2,,
254,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/3A.png,,Progression army time,,flow map / mpa,3,,
255,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/3B.png,,Heat map obesity US,,Choropleth Map,3,,
256,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/3C.1.png,,Obesity chart state,,Graduated Symbol Map,3,,
257,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/3D.1.png,,Absolute Percentage Obesity,,Dorling Cartogram/Area Chart,3,,
258,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/4E.png,,Sunburst Visualization Software Package Structure,,Sunburst Tree,4,,
259,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/4F.png,,Treemap Visualization Software Package Structure,,Treemap Layout,4,,
260,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/4G.png,,Circle Packing Visualization Software Package Structure,,Nested Circles Tree,4,,
261,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/5A.png,,Force-Directed Graph Visualization Character Interactions,,force-directed layout,5,,
262,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/5B.png,,Word Frequency co-occurance,,arc diagram,5,,
263,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/5C.png,,Word Interaction Matrix,,matrix view,5,,
264,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/1A.png,,Line chart depicting stock trends,,Index chart/line chart,1,,
265,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/1B.png,,Unemployment across domains decade,,Stacked Graph,1,,
266,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/1C.png,,Sectorwise unemployment trends,,Small Multiples,1,,
267,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/1D.png,,National Unemployment annual average,,Horizon Graph,1,,
268,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/2B.1.png,,Participation rates,,Q-Q plot,2,,
269,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/1A.png,,Line Graph,Percent change in stock price,Index chart/line chart,1,,
270,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/4E.png,,Pie Chart,Heirarchy / Tree,Sunburst Tree,4,,
271,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/2A.png,,bar-heat map,Frequency of appearance of numbers,Stem-and-Leaf plot,2,,
272,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/3A.png,,Marching chart,Path of military campaign,flow map / mpa,3,,
273,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/1B.png,,Shaded Intersecting Line Chart,Various elements of the econ,Stacked Graph,1,,
274,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/5B.png,,Heat connection map,Interactions of writers / relationships,arc diagram,5,,
275,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/4D.png,,Breakdown,How much each is informed by each of its parts,Icicle Tree,4,,
276,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/3C.1.png,,Area informed pie chart,Distributions based on geographic area,Graduated Symbol Map,3,,
277,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/1C.png,,Set area graphs,Employment,Small Multiples,1,,
278,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/4A.png,,Relational Model,Showing the different branches of flare,Node-link diagram / tree,4,,
279,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/2D.png,,Loom / Weave,How number of cylinders relate to attributes of a car,parallel Coordinates,2,,
280,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/2C.png,,Scatterplot,Each plot a comparison of 2 of the vars,Splom / scatterplot matrix,2,,
281,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/1D.png,,Stocks,"Negative Red, Positive Blue",Horizon Graph,1,,
282,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/4F.png,,Importance,More important things are bigger,Treemap Layout,4,,
283,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/4G.png,,Venn Diagram,"Orange ones are data, larger circles are category",Nested Circles Tree,4,,
284,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/3B.png,,Weight / Obesity,"Red is most dense, lighter / green is less",Choropleth Map,3,,
285,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/4C.png,,Model Tree,Different storage for variables in a computer,Indented Tree,4,,
286,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/5C.png,,Logic Puzzle,"Family tree, what people share similar traits",matrix view,5,,
287,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/2A.png,,Cat and Whisker Plot,Represent data points from 0.1 to 10.0,Stem-and-Leaf plot,2,,
288,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/2C.png,,Scatterplot,Different engines for cars based on country of production,Splom / scatterplot matrix,2,,
289,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/1A.png,,Line Graph,How is one variable effected by the other over time,Index chart/line chart,1,,
290,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/4B.png,,Tree,"Origin, branches off into different branches and leaves",Radial Cluster Diagram,4,,
291,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/3D.1.png,,Area Graph,Larger circle more data points,Dorling Cartogram/Area Chart,3,,
292,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/4E.png,,Circle Tree,"Origin, branches off into different branches and leaves",Sunburst Tree,4,,
293,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/2A.png,,Dot Plot,Corresponding amount per number,Stem-and-Leaf plot,2,,
294,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/3A.png,,Map distance,Temperature? Lat? Long?,flow map / mpa,3,,
295,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/2B.1.png,,Scatterplot,Variables increase to the right and up,Q-Q plot,2,,
296,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/3C.1.png,,Census / Demographic Data,Weight dist per weight,Graduated Symbol Map,3,,
297,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/1C.png,,Bar Graph,"X axis time, y-axis relevance of industry",Small Multiples,1,,
298,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/4A.png,,Logic Tree,Represent relationship between classes in a software program,Node-link diagram / tree,4,,
299,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/2D.png,,Tree Graph,Maps relationships of certain components of a car to others,parallel Coordinates,2,,
300,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/2C.png,,Multi-colinearity matrix,Plot relationships two variables at a time based on x or y axis,Splom / scatterplot matrix,2,,
301,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/5B.png,,Lineage Plot,Maps descendants of certain people,arc diagram,5,,
302,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/1D.png,,Line Graph and Histograph had a baby,"Blue means growth, red is in the negative",Horizon Graph,1,,
303,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/4F.png,,Box Graph,"Each box represents a percentage, larger box is higher percentage",Treemap Layout,4,,
304,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/4G.png,,tree graph,Each circle is a part/a component of the larger circle,Nested Circles Tree,4,,
305,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/3B.png,,Map,Color is showning the percentage of some data,Choropleth Map,3,,
306,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/1A.png,,Multiple line chart,It shows the change in stock prices over time,Index chart/line chart,1,,
307,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/1B.png,,stacked line chart,Shows the proportion of categories across time,Stacked Graph,1,,
308,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/3B.png,,Map,Obesity levels by state,Choropleth Map,3,,
309,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/4F.png,,Tree Map,proportions of things in different categories,Treemap Layout,4,,
310,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/1A.png,,Line charts,change in categories over time,Index chart/line chart,1,,
311,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/2A.png,,Stem-and-leaf plot,A bunch of numbers,Stem-and-Leaf plot,2,,
312,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/1A.png,,Technology stock chart,Index Chart,Index chart/line chart,1,,
313,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/2B.1.png,,Mechanical Turk Participation Rates,Q-Q Plot,Q-Q plot,2,,
314,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/3B.png,,Obesity map USA,Choropleth Map,Choropleth Map,3,,
315,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/3D.1.png,,Obesity USA Dorling Carogram,Dorling Cartogram/Area Chart,Dorling Cartogram/Area Chart,3,,
316,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/5B.png,,Interaction Les Miserables characters,Arc Diagram,arc diagram,5,,
317,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/1A.png,,Index chart stocks,Index Chart,Index chart/line chart,1,,
318,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/3C.1.png,,Graduated Symbol Map obesity,Pie Chart,Graduated Symbol Map,3,,
319,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/2C.png,,Plot automobile data,Scatter Plot Matrix,Splom / scatterplot matrix,2,,
320,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/1B.png,,Unemployment graph,Stacked Graph,Stacked Graph,1,,
321,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/5A.png,,Interaction graph,Force directed layout,force-directed layout,5,,
322,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/1C.png,,Unemployment rate US workers industry,Small Multiples,Small Multiples,1,,
323,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/2A.png,,Stem and Leaf Plot Mechanical Turk Participation rates,Stem and Leaf Plot,Stem-and-Leaf plot,2,,
324,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/2D.png,,Parallel Coordinates Automobile Data,Parallel Coordinates,parallel Coordinates,2,,
325,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/1D.png,,Horizon Graph unemployment,Horizon Graph,Horizon Graph,1,,
326,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/4G.png,,Hypertree,The Flare Package tree,Nested Circles Tree,4,,
327,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/1B.png,,Stacked Graph,Unemployment,Stacked Graph,1,,
328,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/2D.png,,Parallel plot diagram,Automobile Data,parallel Coordinates,2,,
329,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/4A.png,,tree map,The Flare Package tree,Node-link diagram / tree,4,,
330,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/1A.png,,Line Chart,Stock Increase,Index chart/line chart,1,,
331,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/2A.png,,Stem-and-Leaf,Mechanical Turk Participation Rates,Stem-and-Leaf plot,2,,
332,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/2C.png,,Scatter Plot,Automobile Data,Splom / scatterplot matrix,2,,
333,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/2B.1.png,,Turker task group completion ,Mechanical Turk Participation Rates,Q-Q plot,2,,
334,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/3B.png,,Obesity United States ,Obesity in the United States (1995 to 2008),Choropleth Map,3,,
335,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/4B.png,,Radial trees ,The Flare Package tree,Radial Cluster Diagram,4,,
336,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/1A.png,,Line graph,Stock Increase,Index chart/line chart,1,,
337,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/1C.png,,Bar graph,Unemployment,Small Multiples,1,,
338,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/2A.png,,Stem-and-Leaf,Mechanical Turk Participation Rates,Stem-and-Leaf plot,2,,
339,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/2C.png,,Scatter Plot,Automobile Data,Splom / scatterplot matrix,2,,
340,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/2D.png,,Neuro graph,Automobile Data,parallel Coordinates,2,,
341,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/3B.png,,Obesity US,Obesity in the United States (1995 to 2008),Choropleth Map,3,,
342,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/3D.1.png,,Circles,Obesity in the United States (1995 to 2008),Dorling Cartogram/Area Chart,3,,
343,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/4B.png,,Tree,The Flare Package tree,Radial Cluster Diagram,4,,
344,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/3C.1.png,,Circle Map,Obesity in the United States (1995 to 2008),Graduated Symbol Map,3,,
345,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/4A.png,,Node Tree,The Flare Package tree,Node-link diagram / tree,4,,
346,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/4C.png,,Tree,The Flare Package tree,Indented Tree,4,,
347,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/4D.png,,Tree Levels,The Flare Package tree,Icicle Tree,4,,
348,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/4F.png,,Square Tree,The Flare Package tree,Treemap Layout,4,,
349,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/5A.png,,Node Tree,Les Misérables character interaction,force-directed layout,5,,
350,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/1A.png,,Line Chart,Stock Increase,Index chart/line chart,1,,
351,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/4E.png,,Cricles,The Flare Package tree,Sunburst Tree,4,,
352,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/4G.png,,Cricles,The Flare Package tree,Nested Circles Tree,4,,
353,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/1B.png,,Stock Plot,Unemployment,Stacked Graph,1,,
354,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/2B.1.png,,Linear Algebra,Mechanical Turk Participation Rates,Q-Q plot,2,,
355,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/3B.png,,Obesity US,Obesity in the United States (1995 to 2008),Choropleth Map,3,,
356,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/2A.png,,Stem-and-Leaf graph,Mechanical Turk Participation Rates,Stem-and-Leaf plot,2,,
357,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/2D.png,,Parallel Coordinates,Automobile Data,parallel Coordinates,2,,
358,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/3D.1.png,,Circle Graph,Obesity in the United States (1995 to 2008),Dorling Cartogram/Area Chart,3,,
359,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/4D.png,,Triangle Tree,The Flare Package tree,Icicle Tree,4,,
360,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/1A.png,,Stock Trend chart,Stock increase,Index chart/line chart,1,,
361,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/2A.png,,tree plot,Mechanical Turk Participation Rates,Stem-and-Leaf plot,2,,
362,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/2C.png,,scatter plot,Automobile Data,Splom / scatterplot matrix,2,,
363,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/2D.png,,parallel plot,Automobile Data,parallel Coordinates,2,,
364,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/4A.png,,Tree,The Flare package tree,Node-link diagram / tree,4,,
365,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/4C.png,,Json,The Flare package tree,Indented Tree,4,,
366,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/4E.png,,Sector Tree,The Flare package tree,Sunburst Tree,4,,
367,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/4F.png,,Block Tree,The Flare package tree,Treemap Layout,4,,
368,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/4G.png,,Circle Tree,The Flare package tree,Nested Circles Tree,4,,
369,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/5C.png,,Matrix,Les Misérables character interaction ,matrix view,5,,
370,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/1A.png,,Line plot,Stock increase,Index chart/line chart,1,,
371,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/1B.png,,Stack plot,Unemployment ,Stacked Graph,1,,
372,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/2B.1.png,,Q-Q Plot,"Mechanical Turk Participation Rates
",Q-Q plot,2,,
373,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/2C.png,,Scatter Plot Matrix,Automobile Data,Splom / scatterplot matrix,2,,
374,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/3B.png,,Choropleth Map,Obesity in the United States (1995 to 2008),Choropleth Map,3,,
375,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/3C.1.png,,Graduated Symbol Map,Obesity in the United States (1995 to 2008),Graduated Symbol Map,3,,
376,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/3D.1.png,,Dorling Cartogram,Obesity in the United States (1995 to 2008),Dorling Cartogram/Area Chart,3,,
377,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/4A.png,,Tree chart,The Flare package tree,Node-link diagram / tree,4,,
